,source,target
1068971,TPI1,DCXR
1068972,SHMT1,EIF2A
1068973,URB1,NASP
1068974,HSPE1,DCXR
1068975,TIMM44,DNAJA3
1068976,RPS26,RSL24D1
1068977,ALDH6A1,DERA
1068978,FAH,ADK
1068979,ATP5F1B,HSPA2
1068980,U2SURP,TRAP1
1068981,SHMT1,PGD
1068982,PSMD2,NDUFA9
1068983,ATP5F1B,RPS29
1068984,DDX39A,RPSA
1068985,RPL5,RPS29
1068986,NDUFB7,STOML2
1068987,HSPD1,SF3A1
1068988,SARS1,RACK1
1068989,COX5A,MRPL49
1068990,SSB,BCCIP
1068991,RPS21,ARF5
1068992,SSB,LSM3
1068993,HSPE1,RMDN1
1068994,TSFM,IPMK
1068995,PAICS,RAB14
1068996,TXNDC17,TXNRD2
1068997,NDUFB10,UQCRB
1068998,ZNF277,NDUFA13
1068999,DLAT,PRDX3
1069000,DLAT,ATP5F1D
1069001,RAB14,TANGO6
1069002,DDX39A,LSM8
1069003,POLR2E,ERCC3
1069004,ATP5PD,RPS5
1069005,NDUFS8,COX5A
1069006,DDB1,LSM4
1069007,MTREX,DDX27
1069008,FH,ALDH7A1
1069009,IDH2,PGD
1069010,MCCC1,MRPL44
1069011,PRDX3,EIF3B
1069012,GCHFR,PRPF31
1069013,TOMM22,NHP2
1069014,ABAT,DCXR
1069015,DHX15,DROSHA
1069016,NUP98,DCTN2
1069017,ZNF622,RSL24D1
1069018,EXOSC2,MRPL37
1069019,AARS1,ACO2
1069020,ATP5F1D,NDUFA9
1069021,RPL5,DICER1
1069022,SHQ1,NHP2
1069023,SLC25A12,NDUFA12
1069024,COX5A,NDUFA13
1069025,ACOX3,PGD
1069026,PMPCA,EMG1
1069027,ACTR1A,PYM1
1069028,PSMD5,ACAD8
1069029,ATP5PD,RPL31
1069030,PAFAH1B1,PINX1
1069031,ATP5PD,RPL6
1069032,IARS1,PAN2
1069033,HSPA2,RPS28
1069034,SEH1L,TXNRD2
1069035,POLD1,PRKAR1B
1069036,TBL3,SHQ1
1069037,GCHFR,ACTR1A
1069038,RACK1,ARF5
1069039,RPL35A,RSL24D1
1069040,HSPD1,SF3B6
1069041,ATP5PD,PRDX3
1069042,PSMD2,ECPAS
1069043,PMPCA,IMP3
1069044,TTC36,SNAPIN
1069045,D2HGDH,ATP6V1D
1069046,RPLP2,BTF3
1069047,RCE1,COG6
1069048,AK1,DCXR
1069049,ARL1,RBBP5
1069050,HSPA9,PMPCA
1069051,UBA52,RPL38
1069052,LIG1,DCAF13
1069053,GET3,RCE1
1069054,COX5A,NDUFA12
1069055,USP14,LEO1
1069056,PPTC7,UFC1
1069057,DNAJA2,FA2H
1069058,CYB5B,DDX17
1069059,WARS1,SND1
1069060,SLC30A4,PRKCSH
1069061,SEC24D,PCCA
1069062,NUP98,CDT1
1069063,RPS25,RSL24D1
1069064,FH,PEPD
1069065,NDUFB3,PSMC1
1069066,TSR1,TUBA4B
1069067,ELP4,PYM1
1069068,EIF3F,NDUFB4
1069069,RPL9,FAU
1069070,FH,ABAT
1069071,MAK16,TIMELESS
1069072,HSPA2,SNRPD2
1069073,FDXR,DCTN5
